dataset,seed_a,seed_b,ARI
Les Miserables,11,19,0.9039715130804353
Les Miserables,12,13,0.7228109800636706
Les Miserables,12,14,0.5803714935162886
Les Miserables,12,15,0.7225811918911731
Les Miserables,12,16,0.7225811918911731
Les Miserables,12,17,0.7868489276455338
Les Miserables,12,18,0.6834998930703828
Les Miserables,12,19,0.6290510305319473
Les Miserables,13,14,0.7656299944978646
Les Miserables,13,15,0.9330494362312024
Les Miserables,13,16,0.9330494362312024
Les Miserables,13,17,0.9265130369340103
Les Miserables,13,18,0.9048641708733332
Les Miserables,13,19,0.8719604878906647
Les Miserables,14,15,0.8234601597516616
Les Miserables,14,16,0.8234601597516616
Les Miserables,14,17,0.7577474765362139
Les Miserables,14,18,0.738448943836395
Les Miserables,14,19,0.7814746758456482
Les Miserables,15,16,1.0
Les Miserables,15,17,0.9282929130522688
Les Miserables,15,18,0.9014726073813045
Les Miserables,15,19,0.8707387109545938
Les Miserables,16,17,0.9282929130522688
Les Miserables,16,18,0.9014726073813045
Les Miserables,16,19,0.8707387109545938
Les Miserables,17,18,0.8339182835573803
Les Miserables,17,19,0.8007695836571139
Les Miserables,18,19,0.9039715130804353
Southern women,0,1,0.6755447941888619
Southern women,0,2,0.6755447941888619
Southern women,0,3,0.6755447941888619
Southern women,0,4,0.6867469879518072
Southern women,0,5,0.38927738927738925
Southern women,0,6,0.5212527964205816
Southern women,0,7,0.6761904761904762
Southern women,0,8,0.6755447941888619
Southern women,0,9,0.47884187082405344
Southern women,0,10,0.787012987012987
Southern women,0,11,0.7481481481481481
Southern women,0,12,0.6190476190476191
Southern women,0,13,0.8294573643410853
Southern women,0,14,0.3904761904761905
Southern women,0,15,0.6761904761904762
Southern women,0,16,0.6755447941888619
Southern women,0,17,0.7031630170316302
Southern women,0,18,0.5212527964205816
Southern women,0,19,0.6761904761904762
Southern women,1,2,1.0
Southern women,1,3,1.0
Southern women,1,4,0.5201255909895767
Southern women,1,5,0.6098886366480167
Southern women,1,6,0.72366244755123
Southern women,1,7,0.9146314950358722
Southern women,1,8,1.0
Southern women,1,9,0.7416801208270403
Southern women,1,10,0.6585263238415788
Southern women,1,11,0.6138718466756872
Southern women,1,12,0.9146314950358722
Southern women,1,13,0.6312408258192425
Southern women,1,14,0.663019059352127
Southern women,1,15,0.9146314950358722
Southern women,1,16,1.0
Southern women,1,17,0.5900751161637495
Southern women,1,18,0.72366244755123
Southern women,1,19,0.9146314950358722
Southern women,2,3,1.0
Southern women,2,4,0.5201255909895767
Southern women,2,5,0.6098886366480167
Southern women,2,6,0.72366244755123
Southern women,2,7,0.9146314950358722
Southern women,2,8,1.0
Southern women,2,9,0.7416801208270403
Southern women,2,10,0.6585263238415788
Southern women,2,11,0.6138718466756872
Southern women,2,12,0.9146314950358722
Southern women,2,13,0.6312408258192425
Southern women,2,14,0.663019059352127
Southern women,2,15,0.9146314950358722
